index,time,latitude,longitude,depth,mag,place
444,2022-01-12T20:46:57.971Z,25.22,94.1077,13.28,4.5,"48 km NNE of Imph?l, India"
448,2022-01-08T05:42:01.889Z,11.0371,93.2253,88.26,4.3,"87 km SE of Port Blair, India"
449,2022-01-06T18:29:13.484Z,27.8305,82.8074,10.0,4.4,"38 km NNE of Pachperwa, India"
452,2022-01-04T15:02:42.007Z,11.9077,93.6061,131.6,4.6,"97 km ENE of Port Blair, India"
453,2022-01-04T01:14:27.164Z,13.0711,93.0237,35.0,4.7,"155 km NNE of Bamboo Flat, India"
456,2021-12-29T19:08:19.232Z,29.9056,80.3449,10.0,4.5,"18 km WNW of Dh?rchula, India"
458,2021-12-29T00:01:00.663Z,9.8601,93.4354,92.37,5.0,"213 km SSE of Port Blair, India"
473,2021-12-21T05:04:14.782Z,27.6752,96.9853,43.61,4.5,"61 km SE of Hayuliang, India"
475,2021-12-19T03:19:46.151Z,13.7358,92.7495,10.0,5.1,"225 km N of Bamboo Flat, India"
485,2021-12-10T04:14:54.431Z,25.5067,95.4612,65.73,4.2,"98 km E of Phek, India"
489,2021-12-05T13:39:30.450Z,13.9216,92.4294,10.0,4.3,"247 km N of Bamboo Flat, India"
495,2021-11-28T17:21:20.764Z,24.2296,94.5821,71.92,4.4,"65 km SE of W?ngjing, India"
496,2021-11-28T17:02:20.837Z,27.0354,96.5311,10.0,4.4,"89 km ESE of Margherita, India"
498,2021-11-28T01:32:51.010Z,27.0398,96.3025,10.0,4.6,"68 km ESE of Margherita, India"
502,2021-11-23T16:31:58.690Z,31.3163,77.1736,10.0,4.3,"9 km NNE of Seoni, India"
504,2021-11-20T11:12:18.811Z,24.637,95.1196,128.95,4.6,"107 km E of W?ngjing, India"
505,2021-11-20T07:42:09.082Z,25.9374,91.4838,10.0,4.2,"21 km SSW of Pal?sb?ri, India"
506,2021-11-19T20:56:16.978Z,25.1721,72.5323,10.0,4.4,"20 km SSW of Jalor, India"
511,2021-11-09T10:57:27.886Z,31.9939,78.5517,10.0,4.6,"89 km NE of Sar?han, India"
512,2021-11-09T04:17:23.043Z,25.3783,94.9456,76.61,4.2,"55 km SE of Phek, India"
513,2021-11-08T02:18:33.714Z,24.7068,95.1714,120.86,4.5,"112 km E of W?ngjing, India"
514,2021-11-07T23:58:24.676Z,9.8651,93.6735,10.0,4.9,"223 km SSE of Port Blair, India"
515,2021-11-07T16:20:46.399Z,27.271,88.7826,10.0,4.6,"17 km ESE of Gangtok, India"
520,2021-11-04T04:49:04.009Z,26.7969,92.5824,10.0,4.4,"9 km WSW of Rang?p?ra, India"
521,2021-11-02T13:29:31.927Z,26.6453,96.7986,10.0,4.8,"48 km N of Sarupathar, India"
